,id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,latitude,longitude,line_name,month,time_range,month_number,hour,year,Time,Time_group
35,36,2019-01-02,17:00,Wednesday,BESSARION STATION,MUPAA,5,8,E,SHP,6151,Passenger Assistance Alarm Activated - No Trouble Found,43.769166999999996,-79.376389,Sheppard,January,3-6PM,1,17,2019,17,afternoon_rush_hour
141,142,2019-01-09,19:44,Wednesday,BESSARION STATION,EUDO,6,11,W,SHP,6141,Door Problems - Faulty Equipment,43.769166999999996,-79.376389,Sheppard,January,6-9PM,1,19,2019,19,afternoon_rush_hour
157,158,2019-01-10,11:28,Thursday,DON MILLS STATION,TUMVS,3,9,E,SHP,6156,Operator Violated Signal,43.775556,-79.346389,Sheppard,January,9AM-12PM,1,11,2019,11,mid_day
187,188,2019-01-12,1:31,Saturday,DON MILLS STATION,SUROB,9,14,E,SHP,6181,Robbery,43.775556,-79.346389,Sheppard,January,9PM-1:30AM,1,1,2019,25,evening
219,220,2019-01-13,21:30,Sunday,SHEPPARD-YONGE SHP STATION,TUO,3,8,E,SHP,6176,Transportation Department - Other,,,Sheppard,January,9PM-1:30AM,1,21,2019,21,evening
348,349,2019-01-20,18:01,Sunday,DON MILLS STATION,SUO,22,28,E,SHP,6186,Passenger Other,43.775556,-79.346389,Sheppard,January,6-9PM,1,18,2019,18,afternoon_rush_hour
355,356,2019-01-21,7:13,Monday,DON MILLS STATION,PUSNT,3,8,E,SHP,6186,Signal Problem - No Trouble,43.775556,-79.346389,Sheppard,January,5-9AM,1,7,2019,7,morning_rush_hour
372,373,2019-01-21,10:34,Monday,LESLIE STATION,PUSI,3,8,E,SHP,6176,Signals or Related Components Failure ,43.771389,-79.365278,Sheppard,January,9AM-12PM,1,10,2019,10,mid_day
402,403,2019-01-22,14:52,Tuesday,DON MILLS STATION,MUIR,5,10,E,SHP,6171,Injured or ill Customer (On Train) - Medical Aid Refused,43.775556,-79.346389,Sheppard,January,12-3PM,1,14,2019,14,mid_day
449,450,2019-01-23,22:50,Wednesday,DON MILLS STATION,PUMEL,5,10,W,SHP,6171,Escalator/Elevator Incident,43.775556,-79.346389,Sheppard,January,9PM-1:30AM,1,22,2019,22,evening
575,576,2019-01-29,17:44,Tuesday,SHEPPARD-YONGE SHP STATION,EUOE,5,10,W,SHP,6171,Rail Cars & Shops Opr. Error,,,Sheppard,January,3-6PM,1,17,2019,17,afternoon_rush_hour
675,676,2019-02-01,14:09,Friday,DON MILLS STATION,MUSC,4,9,W,SHP,6191,Miscellaneous Speed Control,43.775556,-79.346389,Sheppard,February,12-3PM,2,14,2019,14,mid_day
782,783,2019-02-07,10:23,Thursday,SHEPPARD-YONGE SHP STATION,PUSNT,5,10,E,SHP,6176,Signal Problem - No Trouble,,,Sheppard,February,9AM-12PM,2,10,2019,10,mid_day
787,788,2019-02-08,1:26,Friday,SHEPPARD-YONGE SHP STATION,PUSO,4,9,E,SHP,6186,S/E/C Department Other,,,Sheppard,February,9PM-1:30AM,2,1,2019,25,evening
804,805,2019-02-08,23:30,Friday,LESLIE STATION,MUI,14,19,W,SHP,6191,Injured or ill Customer (On Train) - Transported,43.771389,-79.365278,Sheppard,February,9PM-1:30AM,2,23,2019,23,evening
825,826,2019-02-10,13:18,Sunday,SHEPPARD-YONGE SHP STATION,PUSI,10,15,E,SHP,6166,Signals or Related Components Failure ,,,Sheppard,February,12-3PM,2,13,2019,13,mid_day
856,857,2019-02-12,21:01,Tuesday,SHEPPARD-YONGE SHP STATION,TUNOA,5,10,W,SHP,6161,No Operator Immediately Available ,,,Sheppard,February,9PM-1:30AM,2,21,2019,21,evening
909,910,2019-02-14,15:57,Thursday,DON MILLS STATION,SUDP,5,10,W,SHP,6191,Disorderly Patron,43.775556,-79.346389,Sheppard,February,3-6PM,2,15,2019,15,mid_day
952,953,2019-02-16,1:11,Saturday,LESLIE STATION,TUMVS,10,15,W,SHP,6191,Operator Violated Signal,43.771389,-79.365278,Sheppard,February,9PM-1:30AM,2,1,2019,25,evening
954,955,2019-02-16,14:42,Saturday,LESLIE STATION,MUPAA,4,10,E,SHP,6176,Passenger Assistance Alarm Activated - No Trouble Found,43.771389,-79.365278,Sheppard,February,12-3PM,2,14,2019,14,mid_day
980,981,2019-02-18,6:23,Monday,SHEPPARD-YONGE SHP STATION,MUPLB,5,10,E,SHP,6166,Fire/Smoke Plan B - Source TTC,,,Sheppard,February,5-9AM,2,6,2019,6,
1029,1030,2019-02-21,11:51,Thursday,BESSARION STATION,MUTD,3,8,E,SHP,6196,Training Department Related Delays,43.769166999999996,-79.376389,Sheppard,February,9AM-12PM,2,11,2019,11,mid_day
1044,1045,2019-02-22,5:40,Friday,SHEPPARD-YONGE SHP STATION,TUO,7,12,W,SHP,6191,Transportation Department - Other,,,Sheppard,February,5-9AM,2,5,2019,29,off_operation
1087,1088,2019-02-25,2:07,Monday,BESSARION STATION,EUOPO,5,10,E,SHP,6181,OPTO RC&S Non-Train Door Monitoring,43.769166999999996,-79.376389,Sheppard,February,9PM-1:30AM,2,2,2019,26,off_operation
1184,1185,2019-02-28,14:20,Thursday,LESLIE STATION,TUMVS,5,10,W,SHP,6151,Operator Violated Signal,43.771389,-79.365278,Sheppard,February,12-3PM,2,14,2019,14,mid_day
1255,1256,2019-03-04,9:54,Monday,BESSARION STATION,MUI,14,19,W,SHP,6151,Injured or ill Customer (On Train) - Transported,43.769166999999996,-79.376389,Sheppard,March,9AM-12PM,3,9,2019,9,morning_rush_hour
1303,1304,2019-03-06,21:53,Wednesday,BESSARION STATION,MUI,16,21,W,SHP,6151,Injured or ill Customer (On Train) - Transported,43.769166999999996,-79.376389,Sheppard,March,9PM-1:30AM,3,21,2019,21,evening
1325,1326,2019-03-08,6:28,Friday,SHEPPARD-YONGE SHP STATION,MUIR,3,8,E,SHP,6176,Injured or ill Customer (On Train) - Medical Aid Refused,,,Sheppard,March,5-9AM,3,6,2019,6,
1329,1330,2019-03-08,13:19,Friday,BAYVIEW STATION,PUSO,3,8,W,SHP,6171,S/E/C Department Other,43.766944,-79.386667,Sheppard,March,12-3PM,3,13,2019,13,mid_day
1415,1416,2019-03-13,10:08,Wednesday,BAYVIEW STATION,TUO,5,10,E,SHP,6176,Transportation Department - Other,43.766944,-79.386667,Sheppard,March,9AM-12PM,3,10,2019,10,mid_day
