,id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,latitude,longitude,line_name,month,time_range,month_number,hour,year,Time,Time_group
32,33,2019-01-02,14:36,Wednesday,SCARBOROUGH CTR STATIO,ERDO,3,8,N,SRT,3027,Door Problems - Faulty Equipment,,,Scarborough Rail Transit,January,12-3PM,1,14,2019,14,mid_day
49,50,2019-01-02,23:16,Wednesday,ELLESMERE STATION,ERDO,6,11,S,SRT,3004,Door Problems - Faulty Equipment,43.766944,-79.276389,Scarborough Rail Transit,January,9PM-1:30AM,1,23,2019,23,evening
144,145,2019-01-10,5:53,Thursday,MCCOWAN STATION,ERDO,5,11,S,SRT,3008,Door Problems - Faulty Equipment,43.774916999999995,-79.251667,Scarborough Rail Transit,January,5-9AM,1,5,2019,29,off_operation
158,159,2019-01-10,12:30,Thursday,MCCOWAN STATION,PRSW,8,14,S,SRT,3018,Switch Related,43.774916999999995,-79.251667,Scarborough Rail Transit,January,12-3PM,1,12,2019,12,mid_day
213,214,2019-01-13,14:54,Sunday,KENNEDY SRT STATION,MRO,10,16,N,SRT,3013,Miscellaneous Other,43.7325,-79.263611,Scarborough Rail Transit,January,12-3PM,1,14,2019,14,mid_day
239,240,2019-01-15,6:34,Tuesday,MCCOWAN STATION,ERCO,9,15,N,SRT,3013,Couplers,43.774916999999995,-79.251667,Scarborough Rail Transit,January,5-9AM,1,6,2019,6,
248,249,2019-01-15,16:12,Tuesday,MCCOWAN STATION,ERCO,5,10,N,SRT,3013,Couplers,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,16,2019,16,mid_day
255,256,2019-01-15,20:51,Tuesday,LAWRENCE EAST STATION,MRUIR,6,12,E,SRT,3003,Injured or ill Customer (On Train) - Medical Aid Refused,43.750278,-79.270278,Scarborough Rail Transit,January,6-9PM,1,20,2019,20,afternoon_rush_hour
344,345,2019-01-20,17:26,Sunday,MCCOWAN STATION,ERDO,24,30,S,SRT,3016,Door Problems - Faulty Equipment,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,17,2019,17,afternoon_rush_hour
351,352,2019-01-20,22:49,Sunday,MCCOWAN STATION,ERBO,6,12,,SRT,3007,Body,43.774916999999995,-79.251667,Scarborough Rail Transit,January,9PM-1:30AM,1,22,2019,22,evening
378,379,2019-01-21,15:55,Monday,LAWRENCE EAST STATION,MRTO,5,10,N,SRT,3007,Timeout,43.750278,-79.270278,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
399,400,2019-01-22,10:50,Tuesday,ELLESMERE STATION,MRTO,4,14,N,SRT,3027,Timeout,43.766944,-79.276389,Scarborough Rail Transit,January,9AM-12PM,1,10,2019,10,mid_day
404,405,2019-01-22,15:25,Tuesday,MCCOWAN STATION,ERLV,5,10,N,SRT,3003,Low Voltage,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
419,420,2019-01-23,7:38,Wednesday,MCCOWAN STATION,MRTO,3,8,S,SRT,5626,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,January,5-9AM,1,7,2019,7,morning_rush_hour
421,422,2019-01-23,8:16,Wednesday,KENNEDY SRT STATION,MRUIR,5,10,,SRT,3007,Injured or ill Customer (On Train) - Medical Aid Refused,43.7325,-79.263611,Scarborough Rail Transit,January,5-9AM,1,8,2019,8,morning_rush_hour
433,434,2019-01-23,11:52,Wednesday,MCCOWAN STATION,MRTO,5,10,N,SRT,3004,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,January,9AM-12PM,1,11,2019,11,mid_day
439,440,2019-01-23,15:16,Wednesday,KENNEDY SRT STATION,TRO,8,13,N,SRT,3026,Transportation Department - Other,43.7325,-79.263611,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
442,443,2019-01-23,16:34,Wednesday,KENNEDY SRT STATION,ERDO,3,8,N,SRT,3025,Door Problems - Faulty Equipment,43.7325,-79.263611,Scarborough Rail Transit,January,3-6PM,1,16,2019,16,mid_day
492,493,2019-01-25,15:07,Friday,MCCOWAN STATION,PRS,5,10,N,SRT,3012,VCC/RCIU/CCR,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
524,525,2019-01-27,12:46,Sunday,MIDLAND STATION,ERDO,4,10,N,SRT,3017,Door Problems - Faulty Equipment,43.770417,-79.271944,Scarborough Rail Transit,January,12-3PM,1,12,2019,12,mid_day
541,542,2019-01-28,5:55,Monday,ELLESMERE STATION,ERDB,5,10,S,SRT,3026,Disc Brakes,43.766944,-79.276389,Scarborough Rail Transit,January,5-9AM,1,5,2019,29,off_operation
543,544,2019-01-28,6:27,Monday,MCCOWAN STATION,ERTC,4,9,S,SRT,3022,Train Control - VOBC,43.774916999999995,-79.251667,Scarborough Rail Transit,January,5-9AM,1,6,2019,6,
544,545,2019-01-28,6:50,Monday,MIDLAND STATION,MRWEA,4,9,N,SRT,3017,Weather Reports / Related Delays,43.770417,-79.271944,Scarborough Rail Transit,January,5-9AM,1,6,2019,6,
553,554,2019-01-28,15:04,Monday,MCCOWAN STATION,ERVE,5,10,S,SRT,3007,Vehicle,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
587,588,2019-01-30,6:24,Wednesday,KENNEDY SRT STATION,MRTO,3,8,N,SRT,3006,Timeout,43.7325,-79.263611,Scarborough Rail Transit,January,5-9AM,1,6,2019,6,
588,589,2019-01-30,7:26,Wednesday,LAWRENCE EAST STATION,MRTO,3,8,N,SRT,3019,Timeout,43.750278,-79.270278,Scarborough Rail Transit,January,5-9AM,1,7,2019,7,morning_rush_hour
598,599,2019-01-30,9:12,Wednesday,LAWRENCE EAST STATION,ERDO,5,10,S,SRT,3016,Door Problems - Faulty Equipment,43.750278,-79.270278,Scarborough Rail Transit,January,9AM-12PM,1,9,2019,9,morning_rush_hour
601,602,2019-01-30,11:04,Wednesday,MCCOWAN STATION,ERAC,5,10,N,SRT,3017,Air Conditioning,43.774916999999995,-79.251667,Scarborough Rail Transit,January,9AM-12PM,1,11,2019,11,mid_day
607,608,2019-01-30,15:16,Wednesday,SCARBOROUGH CTR STATIO,ERDO,6,12,S,SRT,3019,Door Problems - Faulty Equipment,,,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
608,609,2019-01-30,15:23,Wednesday,MCCOWAN STATION,MRTO,6,12,N,SRT,3007,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,January,3-6PM,1,15,2019,15,mid_day
614,615,2019-01-30,17:31,Wednesday,SCARBOROUGH CTR STATIO,MRTO,6,12,N,SRT,3003,Timeout,,,Scarborough Rail Transit,January,3-6PM,1,17,2019,17,afternoon_rush_hour
659,660,2019-02-01,5:51,Friday,SCARBOROUGH CTR STATIO,MRTO,10,15,S,SRT,3018,Timeout,,,Scarborough Rail Transit,February,5-9AM,2,5,2019,29,off_operation
660,661,2019-02-01,5:51,Friday,SCARBOROUGH CTR STATIO,MRTO,10,15,S,SRT,3018,Timeout,,,Scarborough Rail Transit,February,5-9AM,2,5,2019,29,off_operation
662,663,2019-02-01,6:45,Friday,MIDLAND STATION,MRWEA,3,8,S,SRT,3004,Weather Reports / Related Delays,43.770417,-79.271944,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
663,664,2019-02-01,6:45,Friday,MIDLAND STATION,MRWEA,3,8,S,SRT,3004,Weather Reports / Related Delays,43.770417,-79.271944,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
664,665,2019-02-01,7:16,Friday,MCCOWAN STATION,MRWEA,5,10,N,SRT,3025,Weather Reports / Related Delays,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
665,666,2019-02-01,7:16,Friday,MCCOWAN STATION,MRWEA,5,10,N,SRT,3025,Weather Reports / Related Delays,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
666,667,2019-02-01,7:49,Friday,SCARBOROUGH CTR STATIO,ERDO,8,13,,SRT,3018,Door Problems - Faulty Equipment,,,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
667,668,2019-02-01,7:49,Friday,SCARBOROUGH CTR STATIO,ERDO,8,13,,SRT,3018,Door Problems - Faulty Equipment,,,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
687,688,2019-02-02,6:09,Saturday,MCCOWAN STATION,TRNOA,6,12,S,SRT,0,No Operator Immediately Available ,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
688,689,2019-02-02,6:09,Saturday,MCCOWAN STATION,TRNOA,6,12,S,SRT,0,No Operator Immediately Available ,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
709,710,2019-02-03,22:28,Sunday,MCCOWAN STATION,MRTO,3,9,S,SRT,3012,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,February,9PM-1:30AM,2,22,2019,22,evening
710,711,2019-02-03,22:28,Sunday,MCCOWAN STATION,MRTO,3,9,S,SRT,3012,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,February,9PM-1:30AM,2,22,2019,22,evening
737,738,2019-02-04,22:07,Monday,MCCOWAN STATION,TRNOA,6,12,N,SRT,3007,No Operator Immediately Available ,43.774916999999995,-79.251667,Scarborough Rail Transit,February,9PM-1:30AM,2,22,2019,22,evening
738,739,2019-02-04,22:07,Monday,MCCOWAN STATION,TRNOA,6,12,N,SRT,3007,No Operator Immediately Available ,43.774916999999995,-79.251667,Scarborough Rail Transit,February,9PM-1:30AM,2,22,2019,22,evening
795,796,2019-02-08,14:00,Friday,MCCOWAN STATION,MRTO,7,12,S,SRT,3026,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,February,12-3PM,2,14,2019,14,mid_day
796,797,2019-02-08,14:00,Friday,MCCOWAN STATION,MRTO,7,12,S,SRT,3026,Timeout,43.774916999999995,-79.251667,Scarborough Rail Transit,February,12-3PM,2,14,2019,14,mid_day
808,809,2019-02-09,5:48,Saturday,MCCOWAN STATION,PRS,16,0,S,SRT,3012,VCC/RCIU/CCR,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,5,2019,29,off_operation
809,810,2019-02-09,5:48,Saturday,MCCOWAN STATION,PRS,16,0,S,SRT,3012,VCC/RCIU/CCR,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,5,2019,29,off_operation
811,812,2019-02-09,9:57,Saturday,ELLESMERE STATION,ERDB,5,11,N,SRT,3009,Disc Brakes,43.766944,-79.276389,Scarborough Rail Transit,February,9AM-12PM,2,9,2019,9,morning_rush_hour
812,813,2019-02-09,9:57,Saturday,ELLESMERE STATION,ERDB,5,11,N,SRT,3009,Disc Brakes,43.766944,-79.276389,Scarborough Rail Transit,February,9AM-12PM,2,9,2019,9,morning_rush_hour
827,828,2019-02-11,7:52,Monday,MIDLAND STATION,ERDO,4,9,N,SRT,3007,Door Problems - Faulty Equipment,43.770417,-79.271944,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
828,829,2019-02-11,7:52,Monday,MIDLAND STATION,ERDO,4,9,N,SRT,3007,Door Problems - Faulty Equipment,43.770417,-79.271944,Scarborough Rail Transit,February,5-9AM,2,7,2019,7,morning_rush_hour
832,833,2019-02-11,15:22,Monday,KENNEDY SRT STATION,MRTO,13,18,N,SRT,3019,Timeout,43.7325,-79.263611,Scarborough Rail Transit,February,3-6PM,2,15,2019,15,mid_day
833,834,2019-02-11,15:22,Monday,KENNEDY SRT STATION,MRTO,13,18,N,SRT,3019,Timeout,43.7325,-79.263611,Scarborough Rail Transit,February,3-6PM,2,15,2019,15,mid_day
842,843,2019-02-12,6:55,Tuesday,MCCOWAN STATION,ERDB,5,10,N,SRT,3003,Disc Brakes,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
843,844,2019-02-12,6:55,Tuesday,MCCOWAN STATION,ERDB,5,10,N,SRT,3003,Disc Brakes,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
848,849,2019-02-12,16:40,Tuesday,ELLESMERE STATION,MRWEA,5,10,N,SRT,3003,Weather Reports / Related Delays,43.766944,-79.276389,Scarborough Rail Transit,February,3-6PM,2,16,2019,16,mid_day
849,850,2019-02-12,16:40,Tuesday,ELLESMERE STATION,MRWEA,5,10,N,SRT,3003,Weather Reports / Related Delays,43.766944,-79.276389,Scarborough Rail Transit,February,3-6PM,2,16,2019,16,mid_day
858,859,2019-02-13,6:07,Wednesday,MCCOWAN STATION,MRWEA,5,10,S,SRT,3004,Weather Reports / Related Delays,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
859,860,2019-02-13,6:07,Wednesday,MCCOWAN STATION,MRWEA,5,10,S,SRT,3004,Weather Reports / Related Delays,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
860,861,2019-02-13,6:43,Wednesday,MCCOWAN STATION,ERDB,5,10,S,SRT,3002,Disc Brakes,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
861,862,2019-02-13,6:43,Wednesday,MCCOWAN STATION,ERDB,5,10,S,SRT,3002,Disc Brakes,43.774916999999995,-79.251667,Scarborough Rail Transit,February,5-9AM,2,6,2019,6,
871,872,2019-02-13,15:26,Wednesday,MCCOWAN STATION,ERTC,9,14,S,SRT,3018,Train Control - VOBC,43.774916999999995,-79.251667,Scarborough Rail Transit,February,3-6PM,2,15,2019,15,mid_day
872,873,2019-02-13,15:26,Wednesday,MCCOWAN STATION,ERTC,9,14,S,SRT,3018,Train Control - VOBC,43.774916999999995,-79.251667,Scarborough Rail Transit,February,3-6PM,2,15,2019,15,mid_day
874,875,2019-02-13,18:35,Wednesday,MCCOWAN STATION,ERTC,5,10,S,SRT,3014,Train Control - VOBC,43.774916999999995,-79.251667,Scarborough Rail Transit,February,6-9PM,2,18,2019,18,afternoon_rush_hour
875,876,2019-02-13,18:35,Wednesday,MCCOWAN STATION,ERTC,5,10,S,SRT,3014,Train Control - VOBC,43.774916999999995,-79.251667,Scarborough Rail Transit,February,6-9PM,2,18,2019,18,afternoon_rush_hour
878,879,2019-02-13,22:07,Wednesday,KENNEDY SRT STATION,MRDD,6,12,,SRT,3023,Door Problems - Debris Related,43.7325,-79.263611,Scarborough Rail Transit,February,9PM-1:30AM,2,22,2019,22,evening
