id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,month_number,hour,year
1,1/1/2019,3:03,Tuesday,DUPONT STATION,MUATC,11,16,N,YU,6061,ATC Project,1,3,2019
2,1/1/2019,3:08,Tuesday,EGLINTON WEST STATION,EUATC,11,16,S,YU,5656,ATC RC&S Equipment,1,3,2019
3,1/1/2019,3:09,Tuesday,DUPONT STATION,EUATC,6,11,N,YU,5381,ATC RC&S Equipment,1,3,2019
4,1/1/2019,3:26,Tuesday,ST CLAIR WEST STATION,EUATC,4,9,N,YU,5571,ATC RC&S Equipment,1,3,2019
5,1/1/2019,8:04,Tuesday,DAVISVILLE STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,1,8,2019
6,1/1/2019,8:07,Tuesday,KEELE STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
7,1/1/2019,8:09,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
8,1/1/2019,8:09,Tuesday,KIPLING STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,1,8,2019
9,1/1/2019,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
10,1/1/2019,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
11,1/1/2019,8:19,Tuesday,KENNEDY BD STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
12,1/1/2019,8:28,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019
13,1/1/2019,8:41,Tuesday,GREENWOOD STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,1,8,2019
14,1/1/2019,8:44,Tuesday,SHEPPARD WEST STATION,TUNIP,4,9,N,YU,5436,Operator Not In Position,1,8,2019
15,1/1/2019,13:03,Tuesday,FINCH STATION,MUSC,4,9,S,YU,5391,Miscellaneous Speed Control,1,13,2019
16,1/1/2019,16:02,Tuesday,DUPONT STATION,MUATC,6,10,N,YU,6081,ATC Project,1,16,2019
17,1/1/2019,17:21,Tuesday,GLENCAIRN STATION,EUBK,4,8,N,YU,5531,Brakes,1,17,2019
18,1/1/2019,17:31,Tuesday,KIPLING STATION,MUSAN,4,8,E,BD,5359,Unsanitary Vehicle,1,17,2019
19,1/1/2019,17:39,Tuesday,GREENWOOD STATION,MUPAA,5,9,E,BD,5162,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019
20,1/1/2019,18:49,Tuesday,BATHURST STATION,MUI,5,9,W,BD,5126,Injured or ill Customer (On Train) - Transported,1,18,2019
21,1/1/2019,19:51,Tuesday,COXWELL STATION,MUO,4,8,E,BD,5131,Miscellaneous Other,1,19,2019
22,1/1/2019,20:56,Tuesday,COXWELL STATION,TUNIP,4,8,E,BD,5009,Operator Not In Position,1,20,2019
23,1/2/2019,5:51,Wednesday,WARDEN STATION,PUSNT,4,0,E,BD,5004,Signal Problem - No Trouble,1,5,2019
24,1/2/2019,6:20,Wednesday,CHRISTIE STATION,PUSTS,4,6,E,BD,5158,Signals - Train Stops,1,6,2019
25,1/2/2019,6:24,Wednesday,GREENWOOD STATION,TUNOA,5,10,E,BD,5280,No Operator Immediately Available ,1,6,2019
26,1/2/2019,6:43,Wednesday,WILSON STATION,MUSC,5,7,S,YU,5441,Miscellaneous Speed Control,1,6,2019
27,1/2/2019,7:03,Wednesday,CASTLE FRANK STATION,SUDP,6,8,E,BD,5218,Disorderly Patron,1,7,2019
28,1/2/2019,7:04,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019
29,1/2/2019,7:20,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019
30,1/2/2019,7:48,Wednesday,KIPLING STATION,SUDP,3,6,E,BD,5304,Disorderly Patron,1,7,2019
31,1/2/2019,9:29,Wednesday,DUNDAS STATION,EUPI,3,5,S,YU,5391,Propulsion System,1,9,2019
32,1/2/2019,11:01,Wednesday,YORK MILLS STATION,MUIR,3,5,N,YU,5886,Injured or ill Customer (On Train) - Medical Aid Refused,1,11,2019
33,1/2/2019,14:36,Wednesday,SCARB CTR STATION,ERDO,3,8,N,SRT,3027,Door Problems - Faulty Equipment,1,14,2019
34,1/2/2019,16:08,Wednesday,ROSEDALE STATION,TUNOA,3,6,S,YU,5896,No Operator Immediately Available ,1,16,2019
35,1/2/2019,16:39,Wednesday,DUNDAS STATION,SUDP,3,6,N,YU,5916,Disorderly Patron,1,16,2019
36,1/2/2019,17:00,Wednesday,BESSARION STATION,MUPAA,5,8,E,SHP,6151,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019
37,1/2/2019,17:10,Wednesday,SPADINA YUS STATION,PUTIJ,6,9,N,YU,5856,Insulated Joint Related Problem,1,17,2019
38,1/2/2019,17:22,Wednesday,ISLINGTON STATION,SUDP,11,14,E,BD,5091,Disorderly Patron,1,17,2019
39,1/2/2019,17:48,Wednesday,MUSEUM STATION,TUDOE,23,25,N,YU,5941,Doors Open in Error,1,17,2019
40,1/2/2019,18:04,Wednesday,YONGE BD STATION,MUDD,3,6,W,BD,5246,Door Problems - Debris Related,1,18,2019
41,1/2/2019,18:36,Wednesday,YONGE BD STATION,MUPAA,3,6,W,BD,5137,Passenger Assistance Alarm Activated - No Trouble Found,1,18,2019
42,1/2/2019,19:06,Wednesday,YORK MILLS STATION,MUI,9,11,N,YU,6001,Injured or ill Customer (On Train) - Transported,1,19,2019
43,1/2/2019,19:33,Wednesday,DUPONT STATION,MUSC,3,6,S,YU,5806,Miscellaneous Speed Control,1,19,2019
44,1/2/2019,19:39,Wednesday,FINCH STATION,PUTD,21,23,N,YU,5506,Track Level Debris - Controllable,1,19,2019
45,1/2/2019,20:37,Wednesday,QUEEN'S PARK STATION,MUPAA,4,7,N,YU,5701,Passenger Assistance Alarm Activated - No Trouble Found,1,20,2019
46,1/2/2019,20:42,Wednesday,LAWRENCE STATION,PUSTS,3,5,S,YU,5676,Signals - Train Stops,1,20,2019
47,1/2/2019,21:27,Wednesday,SPADINA YUS STATION,PUTIJ,3,6,N,YU,5586,Insulated Joint Related Problem,1,21,2019
48,1/2/2019,22:36,Wednesday,ST CLAIR WEST STATION,SUDP,5,10,S,YU,5481,Disorderly Patron,1,22,2019
49,1/2/2019,22:47,Wednesday,SPADINA YUS STATION,PUTIJ,3,7,N,YU,5451,Insulated Joint Related Problem,1,22,2019
50,1/2/2019,23:16,Wednesday,ELLESMERE STATION,ERDO,6,11,S,SRT,3004,Door Problems - Faulty Equipment,1,23,2019
51,1/3/2019,5:37,Thursday,ST GEORGE YUS STATION,MUCL,3,6,S,YU,5906,Divisional Clerk Related,1,5,2019
52,1/3/2019,6:29,Thursday,ST GEORGE BD STATION,PUTIJ,7,12,N,YU,5486,Insulated Joint Related Problem,1,6,2019
53,1/3/2019,6:42,Thursday,FINCH STATION,MUTO,4,6,S,YU,5886,Misc. Transportation Other - Employee Non-Chargeable,1,6,2019
54,1/3/2019,7:20,Thursday,GREENWOOD STATION,EUPI,3,5,E,BD,5369,Propulsion System,1,7,2019
55,1/3/2019,8:03,Thursday,CHESTER STATION,TUSC,3,5,E,BD,5193,Operator Overspeeding,1,8,2019
56,1/3/2019,10:43,Thursday,UNION STATION,EUTRD,4,7,N,YU,5761,TR Cab Doors,1,10,2019
57,1/3/2019,11:19,Thursday,OLD MILL STATION,MUDD,6,9,E,BD,5087,Door Problems - Debris Related,1,11,2019
58,1/3/2019,16:26,Thursday,BLOOR STATION,MUIR,3,6,S,YU,5826,Injured or ill Customer (On Train) - Medical Aid Refused,1,16,2019
59,1/3/2019,16:26,Thursday,UNION STATION,MUSC,3,6,N,YU,6021,Miscellaneous Speed Control,1,16,2019
60,1/3/2019,16:57,Thursday,FINCH STATION,TUO,6,8,S,YU,5951,Transportation Department - Other,1,16,2019
61,1/4/2019,0:13,Friday,GLENCAIRN STATION,MUPR1,120,123,N,YU,5881,Priority One - Train in Contact With Person,1,0,2019
62,1/4/2019,1:14,Friday,FINCH STATION,MUIR,5,10,S,YU,5926,Injured or ill Customer (On Train) - Medical Aid Refused,1,1,2019
63,1/4/2019,1:40,Friday,SPADINA BD STATION,SUO,5,9,W,BD,5245,Passenger Other,1,1,2019
64,1/4/2019,5:44,Friday,FINCH STATION,SUG,4,8,S,YU,5796,Graffiti / Scratchiti,1,5,2019
65,1/4/2019,5:54,Friday,GREENWOOD STATION,TUNIP,5,11,E,BD,5044,Operator Not In Position,1,5,2019
66,1/4/2019,6:59,Friday,WARDEN STATION,PUSIS,3,6,E,BD,5152,Signals Track Weather Related,1,6,2019
67,1/4/2019,9:30,Friday,PAPE STATION,SUUT,6,9,E,BD,5224,Unauthorized at Track Level,1,9,2019
68,1/4/2019,10:55,Friday,YORKDALE STATION,TUO,4,8,S,YU,5986,Transportation Department - Other,1,10,2019
69,1/4/2019,11:20,Friday,QUEEN STATION,MUIS,9,12,N,YU,6101,Injured or ill Customer (In Station) - Transported,1,11,2019
70,1/4/2019,12:39,Friday,KENNEDY BD STATION,PUSRA,3,6,W,BD,5361,Subway Radio System Fault ,1,12,2019
71,1/4/2019,15:20,Friday,BLOOR STATION,SUDP,5,8,N,YU,6051,Disorderly Patron,1,15,2019
72,1/4/2019,17:46,Friday,BATHURST STATION,MUI,6,9,E,BD,5193,Injured or ill Customer (On Train) - Transported,1,17,2019
73,1/4/2019,17:52,Friday,DUPONT STATION,MUPAA,3,5,S,YU,5956,Passenger Assistance Alarm Activated - No Trouble Found,1,17,2019
74,1/4/2019,18:15,Friday,SHEPPARD STATION,TUO,3,5,S,YU,5736,Transportation Department - Other,1,18,2019
75,1/4/2019,19:05,Friday,NORTH YORK CTR STATION,MUIR,5,7,N,YU,5556,Injured or ill Customer (On Train) - Medical Aid Refused,1,19,2019
76,1/4/2019,19:33,Friday,ROSEDALE STATION,MUI,13,16,S,YU,5651,Injured or ill Customer (On Train) - Transported,1,19,2019
77,1/4/2019,22:16,Friday,QUEEN STATION,MUPAA,4,9,S,YU,5836,Passenger Assistance Alarm Activated - No Trouble Found,1,22,2019
78,1/5/2019,5:58,Saturday,KENNEDY BD STATION,TUO,3,8,W,BD,5290,Transportation Department - Other,1,5,2019
79,1/5/2019,6:00,Saturday,DAVISVILLE STATION,EUBO,5,10,N,YU,5986,Body,1,6,2019
80,1/5/2019,12:10,Saturday,VICTORIA PARK STATION,PUSTC,3,8,E,BD,5044,Signals - Track Circuit Problems,1,12,2019
81,1/5/2019,14:39,Saturday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5551,Operator Not In Position,1,14,2019
82,1/5/2019,16:00,Saturday,DUPONT STATION,TUATC,11,14,N,YU,5841,ATC Operator Related,1,16,2019
83,1/5/2019,17:32,Saturday,KENNEDY BD STATION,PUSTS,5,9,E,BD,5049,Signals - Train Stops,1,17,2019
84,1/5/2019,20:52,Saturday,WILSON STATION,SUDP,5,10,S,YU,5756,Disorderly Patron,1,20,2019
85,1/5/2019,22:55,Saturday,COXWELL STATION,SUDP,8,13,E,BD,5149,Disorderly Patron,1,22,2019
86,1/6/2019,7:58,Sunday,DAVISVILLE STATION,MUCL,5,10,S,YU,5596,Divisional Clerk Related,1,7,2019
87,1/6/2019,8:27,Sunday,KENNEDY BD STATION,EUBO,3,8,W,BD,5279,Body,1,8,2019
88,1/6/2019,8:31,Sunday,PAPE STATION,SUO,5,10,E,BD,5239,Passenger Other,1,8,2019
89,1/6/2019,9:50,Sunday,LAWRENCE STATION,MUI,18,23,S,YU,5491,Injured or ill Customer (On Train) - Transported,1,9,2019
90,1/6/2019,14:20,Sunday,KIPLING STATION,MUIR,4,8,E,BD,5193,Injured or ill Customer (On Train) - Medical Aid Refused,1,14,2019
91,1/6/2019,14:58,Sunday,DAVISVILLE STATION,SUDP,3,7,S,YU,5606,Disorderly Patron,1,14,2019
92,1/6/2019,22:55,Sunday,KIPLING STATION,SUO,5,10,E,BD,5193,Passenger Other,1,22,2019
93,1/6/2019,23:34,Sunday,FINCH STATION,MUIR,5,10,N,YU,5781,Injured or ill Customer (On Train) - Medical Aid Refused,1,23,2019
94,1/7/2019,6:02,Monday,CHRISTIE STATION,PUTWZ,3,7,E,BD,5252,Work Zone Problems - Track,1,6,2019
95,1/7/2019,7:56,Monday,CASTLE FRANK STATION,MUIR,3,5,W,BD,5068,Injured or ill Customer (On Train) - Medical Aid Refused,1,7,2019
96,1/7/2019,8:38,Monday,HIGH PARK STATION,MUIR,3,5,E,BD,5219,Injured or ill Customer (On Train) - Medical Aid Refused,1,8,2019
97,1/7/2019,8:44,Monday,KENNEDY BD STATION,TUST,3,5,W,BD,5077,Storm Trains,1,8,2019
98,1/7/2019,9:08,Monday,WELLESLEY STATION,MUIR,5,7,S,YU,6081,Injured or ill Customer (On Train) - Medical Aid Refused,1,9,2019
99,1/7/2019,11:51,Monday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5931,Operator Not In Position,1,11,2019
100,1/7/2019,15:11,Monday,SPADINA BD STATION,SUDP,3,6,E,BD,5191,Disorderly Patron,1,15,2019
101,1/7/2019,15:21,Monday,EGLINTON STATION,MUTO,4,7,S,YU,5516,Misc. Transportation Other - Employee Non-Chargeable,1,15,2019
102,1/7/2019,15:22,Monday,GLENCAIRN STATION,MUATC,5,8,S,YU,6131,ATC Project,1,15,2019
103,1/7/2019,16:17,Monday,SHEPPARD WEST STATION,MUIR,5,7,S,YU,6101,Injured or ill Customer (On Train) - Medical Aid Refused,1,16,2019
104,1/7/2019,16:42,Monday,SHEPPARD WEST STATION,MUI,3,5,S,YU,5516,Injured or ill Customer (On Train) - Transported,1,16,2019
105,1/7/2019,17:00,Monday,VAUGHAN MC STATION,TUNIP,3,5,S,YU,5736,Operator Not In Position,1,17,2019
106,1/7/2019,17:05,Monday,COXWELL STATION,SUO,15,17,E,BD,5366,Passenger Other,1,17,2019
107,1/7/2019,17:13,Monday,SPADINA YUS STATION,MUI,8,10,S,YU,5601,Injured or ill Customer (On Train) - Transported,1,17,2019
108,1/7/2019,18:48,Monday,ROYAL YORK STATION,SUEAS,19,22,E,BD,5237,Emergency Alarm Station Activation,1,18,2019
109,1/7/2019,18:59,Monday,VICTORIA PARK STATION,EUNT,9,12,W,BD,5044,Equipment - No Trouble Found,1,18,2019
110,1/7/2019,19:11,Monday,OLD MILL STATION,SUEAS,11,15,W,BD,5129,Emergency Alarm Station Activation,1,19,2019
111,1/7/2019,20:10,Monday,EGLINTON STATION,MUPLB,8,0,S,YU,5821,Fire/Smoke Plan B - Source TTC,1,20,2019
112,1/7/2019,20:34,Monday,YORK MILLS STATION,MUPAA,3,6,S,YU,5926,Passenger Assistance Alarm Activated - No Trouble Found,1,20,2019
113,1/7/2019,20:37,Monday,DUNDAS WEST STATION,MUSC,3,6,E,BD,5334,Miscellaneous Speed Control,1,20,2019
114,1/7/2019,22:09,Monday,ROYAL YORK STATION,SUDP,4,8,W,BD,5023,Disorderly Patron,1,22,2019
115,1/8/2019,6:21,Tuesday,DUPONT STATION,TUATC,3,7,N,YU,5976,ATC Operator Related,1,6,2019
116,1/8/2019,6:29,Tuesday,LAWRENCE WEST STATION,TUATC,3,7,N,YU,5891,ATC Operator Related,1,6,2019
117,1/8/2019,7:19,Tuesday,WILSON STATION,TUATC,3,5,S,YU,5961,ATC Operator Related,1,7,2019
118,1/8/2019,7:30,Tuesday,GREENWOOD STATION,TUNIP,3,5,E,BD,5198,Operator Not In Position,1,7,2019
119,1/8/2019,7:39,Tuesday,WILSON STATION,EUCD,3,5,S,YU,5671,Consequential Delay (2nd Delay Same Fault),1,7,2019
