,id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,month_number,hour,year,Time,Time_group
0,1,1/1/2019,3:03,Tuesday,DUPONT STATION,MUATC,11,16,N,YU,6061,ATC Project,1,3,2019,27,f
1,2,1/1/2019,3:08,Tuesday,EGLINTON WEST STATION,EUATC,11,16,S,YU,5656,ATC RC&S Equipment,1,3,2019,27,f
2,3,1/1/2019,3:09,Tuesday,DUPONT STATION,EUATC,6,11,N,YU,5381,ATC RC&S Equipment,1,3,2019,27,f
3,4,1/1/2019,3:26,Tuesday,ST CLAIR WEST STATION,EUATC,4,9,N,YU,5571,ATC RC&S Equipment,1,3,2019,27,f
4,5,1/1/2019,8:04,Tuesday,DAVISVILLE STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,1,8,2019,8,b
5,6,1/1/2019,8:07,Tuesday,KEELE STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
6,7,1/1/2019,8:09,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
7,8,1/1/2019,8:09,Tuesday,KIPLING STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,1,8,2019,8,b
8,9,1/1/2019,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
9,10,1/1/2019,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
10,11,1/1/2019,8:19,Tuesday,KENNEDY BD STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
11,12,1/1/2019,8:28,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,1,8,2019,8,b
12,13,1/1/2019,8:41,Tuesday,GREENWOOD STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,1,8,2019,8,b
13,14,1/1/2019,8:44,Tuesday,SHEPPARD WEST STATION,TUNIP,4,9,N,YU,5436,Operator Not In Position,1,8,2019,8,b
14,15,1/1/2019,13:03,Tuesday,FINCH STATION,MUSC,4,9,S,YU,5391,Miscellaneous Speed Control,1,13,2019,13,c
15,16,1/1/2019,16:02,Tuesday,DUPONT STATION,MUATC,6,10,N,YU,6081,ATC Project,1,16,2019,16,c
16,17,1/1/2019,17:21,Tuesday,GLENCAIRN STATION,EUBK,4,8,N,YU,5531,Brakes,1,17,2019,17,d
17,18,1/1/2019,17:31,Tuesday,KIPLING STATION,MUSAN,4,8,E,BD,5359,Unsanitary Vehicle,1,17,2019,17,d
