,id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,month_number,hour,year,Time,Time_group
0,1,1/1/2019,3:03,Tuesday,DUPONT STATION,MUATC,11,16,N,YU,6061,ATC Project,1,3,2019,27,f
1,2,1/1/2019,3:08,Tuesday,EGLINTON WEST STATION,EUATC,11,16,S,YU,5656,ATC RC&S Equipment,1,3,2019,27,f
2,3,1/1/2019,3:09,Tuesday,DUPONT STATION,EUATC,6,11,N,YU,5381,ATC RC&S Equipment,1,3,2019,27,f
3,4,1/1/2019,3:26,Tuesday,ST CLAIR WEST STATION,EUATC,4,9,N,YU,5571,ATC RC&S Equipment,1,3,2019,27,f
4,5,1/1/2019,8:04,Tuesday,DAVISVILLE STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,1,8,2019,8,b
13,14,1/1/2019,8:44,Tuesday,SHEPPARD WEST STATION,TUNIP,4,9,N,YU,5436,Operator Not In Position,1,8,2019,8,b
14,15,1/1/2019,13:03,Tuesday,FINCH STATION,MUSC,4,9,S,YU,5391,Miscellaneous Speed Control,1,13,2019,13,c
15,16,1/1/2019,16:02,Tuesday,DUPONT STATION,MUATC,6,10,N,YU,6081,ATC Project,1,16,2019,16,c
16,17,1/1/2019,17:21,Tuesday,GLENCAIRN STATION,EUBK,4,8,N,YU,5531,Brakes,1,17,2019,17,d
25,26,1/2/2019,6:43,Wednesday,WILSON STATION,MUSC,5,7,S,YU,5441,Miscellaneous Speed Control,1,6,2019,6,a
27,28,1/2/2019,7:04,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019,7,b
28,29,1/2/2019,7:20,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,1,7,2019,7,b
30,31,1/2/2019,9:29,Wednesday,DUNDAS STATION,EUPI,3,5,S,YU,5391,Propulsion System,1,9,2019,9,b
31,32,1/2/2019,11:01,Wednesday,YORK MILLS STATION,MUIR,3,5,N,YU,5886,Injured or ill Customer (On Train) - Medical Aid Refused,1,11,2019,11,c
33,34,1/2/2019,16:08,Wednesday,ROSEDALE STATION,TUNOA,3,6,S,YU,5896,No Operator Immediately Available ,1,16,2019,16,c
34,35,1/2/2019,16:39,Wednesday,DUNDAS STATION,SUDP,3,6,N,YU,5916,Disorderly Patron,1,16,2019,16,c
36,37,1/2/2019,17:10,Wednesday,SPADINA YUS STATION,PUTIJ,6,9,N,YU,5856,Insulated Joint Related Problem,1,17,2019,17,d
38,39,1/2/2019,17:48,Wednesday,MUSEUM STATION,TUDOE,23,25,N,YU,5941,Doors Open in Error,1,17,2019,17,d
